区域,名称,景点id,类型,级别,热度,经纬度
安徽·池州·青阳县,九华山,489004853,文化古迹,5A景区,热度 1.,"117.810454,30.488263"
四川·成都·都江堰市,都江堰,1582294258,文化古迹,5A景区,热度 1.,"103.620123,31.006855"
江西·九江·庐山区,庐山风景名胜区,2295597022,文化古迹,5A景区,热度 1.,"116.001261,29.561078"
北京·北京·东城区,故宫,989946426,文化古迹,5A景区,热度 1.,"116.403347,39.922148"
陕西·西安·临潼区,秦始皇陵博物院（兵马俑）,3261940195,文化古迹,5A景区,热度 0.,"109.266029,34.386024"
安徽·黄山·黄山区,黄山风景区,3346106506,文化古迹,5A景区,热度 1.,"118.193977,30.097967"
四川·乐山·峨眉山市,峨眉山,69638736,文化古迹,5A景区,热度 1.,"103.342036,29.522835"
福建·厦门·思明区,鼓浪屿,1708816601,文化古迹,5A景区,热度 0.,"118.073486,24.452261"
北京·北京·海淀区,颐和园,4268080051,文化古迹,5A景区,热度 0.,"116.276887,39.999497"
四川·成都·都江堰市,青城山,2833668773,文化古迹,5A景区,热度 0.,"103.579492,30.903334"
河南·郑州·嵩山,嵩山少林寺,2621763528,文化古迹,5A景区,热度 0.,"112.948713,34.512389"
北京·北京·延庆县,八达岭长城,777857128,文化古迹,5A景区,热度 0.,"116.03293,40.369733"
西藏·拉萨·城关区,布达拉宫,2306731853,文化古迹,5A景区,热度 1.,"91.125491,29.660076"
江苏·苏州·平江区,拙政园,641515105,文化古迹,5A景区,热度 1.,"120.635191,31.330583"
安徽·黄山·黟县,宏村,2450169620,文化古迹,5A景区,热度 0.,"117.995474,30.010385"
广东·韶关·浈江区,韶关丹霞山,1940685610,文化古迹,5A景区,热度 1.,"113.745153,25.0304"
北京·北京·密云县,古北水镇,1433128305,文化古迹,,热度 0.,"117.267356,40.650895"
湖北·武汉·武昌区,黄鹤楼,898602836,文化古迹,5A景区,热度 1.,"114.309047,30.550272"
江苏·南京·玄武区,南京总统府,243830915,文化古迹,4A景区,热度 0.,"118.803688,32.049877"
山东·泰安·泰山区,泰山,1363641676,文化古迹,5A景区,热度 1.,"117.12107,36.247343"
福建·南平·武夷山市,武夷山,4137698306,文化古迹,5A景区,热度 1.,"117.993304,27.631204"
北京·北京·海淀区,圆明园,1427399043,文化古迹,4A景区,热度 0.,"116.314607,40.01629"
北京·北京·怀柔区,慕田峪长城,1987315843,文化古迹,5A景区,热度 0.,"116.57035,40.437612"
四川·成都·武侯区,成都武侯祠,2721389637,文化古迹,4A景区,热度 0.,"104.054421,30.652343"
湖北·十堰·丹江口市,武当山,1550364917,文化古迹,5A景区,热度 1.,"111.102943,32.511746"
陕西·西安·临潼区,华清宫（华清池·骊山）,2005661316,文化古迹,5A景区,热度 0.,"109.218903,34.369881"
浙江·丽水·莲都区,古堰画乡,3967363403,文化古迹,,热度 0.,"119.751846,28.302032"
湖南·张家界·武陵源区,张家界国家森林公园,852581432,文化古迹,5A景区,热度 0.,"110.459244,29.336908"
重庆·重庆·武隆县,武隆天坑地缝国家地质公园,669575040,文化古迹,5A景区,热度 0.,"107.773314,29.423324"
云南·大理·大理市,崇圣寺三塔,3067239679,文化古迹,5A景区,热度 0.,"100.149535,25.710163"
四川·成都·青羊区,成都杜甫草堂,956898870,文化古迹,4A景区,热度 0.,"104.036061,30.666089"
山东·烟台·蓬莱市,蓬莱阁,3062441807,文化古迹,5A景区,热度 1.,"120.760473,37.832144"
甘肃·酒泉·敦煌市,敦煌莫高窟,2267073005,文化古迹,,热度 0.,"94.77389,40.167452"
四川·乐山·市中区,乐山大佛,3732199411,文化古迹,5A景区,热度 0.,"103.779093,29.550402"
江苏·南京·秦淮区,夫子庙秦淮河,2778205010,文化古迹,5A景区,热度 0.,"118.795398,32.026977"
福建·漳州·南靖县,南靖土楼群,760039225,文化古迹,,热度 0.,"117.293053,24.668803"
贵州·黔东南·凯里市,西江千户苗寨,3561022923,文化古迹,4A景区,热度 1.,"108.18029,26.500009"
江苏·苏州·金阊区,虎丘,1798026130,文化古迹,5A景区,热度 0.,"120.587069,31.341637"
江苏·苏州·吴江市,同里古镇,3696794349,文化古迹,5A景区,热度 0.,"120.725441,31.163773"
云南·丽江·丽江古城,木府,2675547065,文化古迹,,热度 0.,"100.241109,26.875004"
江苏·南京·秦淮区,大报恩寺遗址公园,528078619,文化古迹,,热度 0.,"118.787634,32.015811"
青海·西宁·湟中县,塔尔寺,4185114321,文化古迹,5A景区,热度 1.,"101.576298,36.494459"
山西·晋中·平遥县,平遥古城,3289429100,文化古迹,5A景区,热度 1.,"112.190081,37.21041"
陕西·宝鸡·扶风县,法门寺,1305053654,文化古迹,5A景区,热度 1.,"107.909964,34.430433"
重庆·重庆·渝北区,两江国际影视城（民国街）,2243754659,文化古迹,,热度 0.,"106.828801,29.691352"
甘肃·嘉峪关·嘉峪关市,嘉峪关,1464040542,文化古迹,5A景区,热度 0.,"98.22983,39.813112"
山东·威海·威海市,刘公岛,584168263,文化古迹,5A景区,热度 1.,"122.147601,37.499885"
广东·广州·番禺,岭南印象园,3633837019,文化古迹,4A景区,热度 0.,"113.411898,23.041453"
江苏·无锡·滨湖区,灵山大佛,1359778064,文化古迹,5A景区,热度 1.,"120.102895,31.436399"
云南·西双版纳·景洪市,景洪曼听公园,3601401562,文化古迹,4A景区,热度 0.,"100.814267,21.998503"
海南·三亚,槟榔谷黎苗文化区,3907699975,文化古迹,5A景区,热度 0.,"109.677278,18.466556"
北京·北京·昌平区,明十三陵,2269763832,文化古迹,5A景区,热度 0.,"116.234094,40.300017"
山东·枣庄·台儿庄区,台儿庄古城,3189624072,文化古迹,5A景区,热度 0.,"117.747047,34.563186"
江西·鹰潭,江西龙虎山,3661090256,文化古迹,5A景区,热度 0.,"116.999461,28.090447"
江苏·苏州·昆山市,周庄,2834497097,文化古迹,5A景区,热度 0.,"120.851887,31.122436"
陕西·西安·曲江旅游度假区,大慈恩寺（大雁塔）,1105942423,文化古迹,5A景区,热度 0.,"108.970566,34.222777"
湖南·长沙·宁乡县,宁乡炭河古城,1849100349,文化古迹,,热度 0.,"112.4300143405,28.188596302231"
江西·上饶·婺源县,婺源篁岭,2871359243,文化古迹,4A景区,热度 0.,"118.127595,29.339174"
北京·北京·西城区,恭王府,3070792170,文化古迹,5A景区,热度 0.,"116.393097,39.942341"
浙江·嘉兴·嘉善县,西塘古镇,3942761498,文化古迹,5A景区,热度 0.,"120.89521,30.945875"
浙江·嘉兴·桐乡市,乌镇,3413962493,文化古迹,5A景区,热度 1.,"120.494465,30.754749"
湖北·恩施·恩施市,恩施土司城,906058022,文化古迹,4A景区,热度 0.,"109.477782,30.307459"
浙江·嘉兴·乌镇,乌镇西栅,4085764381,文化古迹,,热度 0.,"120.493068,30.755595"
福建·厦门·鼓浪屿,日光岩,3242393315,文化古迹,,热度 0.,"118.073974,24.448579"
江苏·无锡·滨湖区,灵山小镇拈花湾,521189061,文化古迹,,热度 0.,"120.079209,31.419262"
陕西·西安·新城区,大明宫国家遗址公园,2972581121,文化古迹,4A景区,热度 0.,"108.968257,34.309657"
安徽·黄山·黟县,西递村,3132765579,文化古迹,5A景区,热度 0.,"118.003549,29.91024"
云南·丽江·古城区,丽江古城,1815236618,文化古迹,5A景区,热度 1.,"100.240547,26.881159"
浙江·湖州·南浔区,南浔古镇,326929749,文化古迹,5A景区,热度 0.,"120.435533,30.875529"
河北·石家庄·正定县,正定隆兴寺（大佛寺）,2280949446,文化古迹,4A景区,热度 1.,"114.588945,38.148799"
河南·洛阳·洛龙区,龙门石窟,2713529684,文化古迹,5A景区,热度 1.,"112.479566,34.564212"
海南·三亚·三亚湾,大小洞天,3748366838,文化古迹,5A景区,热度 0.,"109.186963,18.307148"
河南·开封·鼓楼区,开封府,2504999724,文化古迹,4A景区,热度 0.,"114.353429,34.796032"
江苏·南京·钟山风景区,中山陵,1514814960,文化古迹,5A景区,热度 1.,"118.860335,32.063934"
云南·迪庆·香格里拉县,噶丹松赞林寺,2324961239,文化古迹,4A景区,热度 0.,"99.712056,27.86626"
福建·厦门·思明区,胡里山炮台,3354922060,文化古迹,4A景区,热度 0.,"118.113008,24.435089"
西藏·拉萨·城关区,大昭寺,1594051451,文化古迹,5A景区,热度 0.,"91.140356,29.65617"
浙江·杭州·西湖区,西湖,4125579163,文化古迹,5A景区,热度 1.,"120.153384,30.236492"
河北·石家庄·正定县,荣国府,1664758328,文化古迹,4A景区,热度 0.,"114.585705,38.153502"
河北·秦皇岛·海港区,求仙入海处,3704318838,文化古迹,4A景区,热度 0.,"119.628079,39.920778"
湖南·长沙·花明楼景区,刘少奇纪念馆,4141763061,文化古迹,,热度 0.,"112.651848,28.037236"
山西·晋城·阳城县,皇城相府,3029001101,文化古迹,5A景区,热度 1.,"112.588586,35.519979"
湖南·湘西·凤凰县,凤凰古城,2809556640,文化古迹,4A景区,热度 1.,"109.607088,27.953295"
山西·忻州·五台县,五台山,2869401961,文化古迹,5A景区,热度 1.,"113.596375,38.984397"
山西·大同·南郊区,云冈石窟,3467256297,文化古迹,5A景区,热度 1.,"113.139454,40.117323"
内蒙古·呼和浩特·玉泉区,大召寺,3435134605,文化古迹,3A景区,热度 0.,"111.660429,40.80594"
云南·大理·大理市,大理古城,3236514466,文化古迹,,热度 0.,"100.170462,25.693527"
河北·秦皇岛·山海关区,山海关老龙头景区,460651635,文化古迹,,热度 0.,"119.805028,39.975207"
四川·南充·阆中市,阆中古城,1511646521,文化古迹,5A景区,热度 1.,"105.977638,31.580898"
陕西·延安·黄陵县,黄帝陵,3266042123,文化古迹,5A景区,热度 1.,"109.280487,35.587062"
广西·桂林·秀峰区,独秀峰王城景区,1537503131,文化古迹,5A景区,热度 0.,"110.305678,25.289462"
江苏·南京·钟山风景区,明孝陵,619880243,文化古迹,5A景区,热度 0.,"118.84258,32.056109"
河北·秦皇岛·山海关区,山海关古城景区,1266648198,文化古迹,,热度 0.,"119.768109,40.012102"
广东·佛山·禅城区,南风古灶旅游区,231672145,文化古迹,4A景区,热度 0.,"113.083642,23.011112"
广东·东莞·东莞市,观音山国家森林公园,423322352,文化古迹,4A景区,热度 0.,"114.103413,22.911516"
河北·承德·双桥区,避暑山庄,3558786789,文化古迹,5A景区,热度 1.,"117.940068,41.002781"
广东·肇庆·鼎湖区,紫云谷,3413327942,文化古迹,,热度 0.,"112.589086,23.136987"
宁夏·银川·西夏区,西夏陵,2498362891,文化古迹,4A景区,热度 0.,"105.867708,38.559179"
福建·漳州·南靖土楼群,云水谣土楼群,4251373224,文化古迹,,热度 0.,"117.101623,24.662736"
江西·南昌·东湖区,滕王阁,2301240201,文化古迹,4A景区,热度 1.,"115.888564,28.686101"
辽宁·沈阳·沈河区,张氏帅府,1635336074,文化古迹,4A景区,热度 0.,"123.464684,41.800237"
